Comment,Processed Comment,Emojis,Demojized,Hashtags,VADER Sentiment,MNB Sentiment,Combined Sentiment,Enhanced Sentiment,Is Troll,Troll Score
saurr pretty ng colorrr,saurr pretty ng colorrr,,saurr pretty ng colorrr,[],Positive (0.49),Positive (0.82),Positive (0.30),Positive (0.29),False,0.15
Highly Recommend🖤,highly recommend blackheart,🖤,highly recommend black_heart ,[],Positive (0.42),Positive (0.90),Positive (0.25),Positive (0.90),False,0.15
💝💝💝,heartwithribbon heartwithribbon heartwithribbon,💝💝💝, heart_with_ribbon  heart_with_ribbon  heart_with_ribbon ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.0
okay pa rin po ba hanggang ngayon?,okay pa rin po ba hanggang ngayon,,okay pa rin po ba hanggang ngayon?,[],Negative (-0.40),Neutral (0.53),Negative (-0.24),Positive (0.06),False,0.15
Update po??,update po,,update po??,[],Negative (-0.61),Neutral (0.48),Negative (-0.36),Positive (TROLL) (0.25),True,0.95
ddrain po ba muna bago icharge??,ddrain po ba muna bago icharge,,ddrain po ba muna bago icharge??,[],Negative (-0.61),Neutral (0.61),Negative (-0.36),Neutral (TROLL) (0.00),True,0.5499999999999999
"please help! i have been using my fan since october 23. Tapos ngayon, napansin ko lang na kitang kita light niya 😭😭 check my video to see",please help i have been using my fan since october 23 tapos ngayon napansin ko lang na kitang kita light niya loudlycryingface loudlycryingface check my video to see,😭😭,"please help! i have been using my fan since october 23. tapos ngayon, napansin ko lang na kitang kita light niya  loudly_crying_face  loudly_crying_face  check my video to see",[],Positive (0.76),Positive (0.43),Positive (0.46),Positive (0.17),False,0.15
ate if second charge po need ba i drain? ksi nung first charge ko chinarge ko 19 percent masisira ba,ate if second charge po need ba i drain ksi nung first charge ko chinarge ko 19 percent masisira ba,,ate if second charge po need ba i drain? ksi nung first charge ko chinarge ko 19 percent masisira ba,[],Negative (-0.56),Neutral (0.55),Negative (-0.19),Positive (0.07),False,0.15
"kabibili ko lang, and after 2 days of using. Yung nag charge ulit ako na stuck na sa 99% And almost 1 hour nag wait hindi talaga nag 100% Is it normal?",kabibili ko lang and after 2 days of using yung nag charge ulit ako na stuck na sa 99 and almost 1 hour nag wait hindi talaga nag 100 is it normal,,"kabibili ko lang, and after 2 days of using. yung nag charge ulit ako na stuck na sa 99% and almost 1 hour nag wait hindi talaga nag 100% is it normal?",[],Negative (-0.82),Negative (0.58),Negative (-0.49),Positive (TROLL) (0.25),True,0.35
Infairnes dati yung kasabayan naminnsa simbahan maingay talaga sya. Then now na may kasabayan kami nakita ko naka 1 lang sya hindi maingay. Kaya sa isip ko yung unang nakasabayan namin siguro++,infairnes dati yung kasabayan naminnsa simbahan maingay talaga sya then now na may kasabayan kami nakita ko naka 1 lang sya hindi maingay kaya sa isip ko yung unang nakasabayan namin siguro,,infairnes dati yung kasabayan naminnsa simbahan maingay talaga sya. then now na may kasabayan kami nakita ko naka 1 lang sya hindi maingay. kaya sa isip ko yung unang nakasabayan namin siguro++,[],Neutral (0.00),Neutral (0.43),Neutral (0.00),Positive (0.23),False,0.15
"Sis, May ask lang aq kasi ung akin may ibang sound sya ang weird wala pang 1 month sakin yun 😭",sis may ask lang aq kasi ung akin may ibang sound sya ang weird wala pang 1 month sakin yun loudlycryingface,😭,"sis, may ask lang aq kasi ung akin may ibang sound sya ang weird wala pang 1 month sakin yun  loudly_crying_face ",[],Negative (-0.18),Negative (0.64),Negative (-0.11),Negative (-0.38),False,0.15
any update teh gumagana pa ba ???,any update teh gumagana pa ba,,any update teh gumagana pa ba ???,[],Neutral (0.00),Neutral (0.51),Neutral (0.00),Positive (TROLL) (0.10),True,0.44999999999999996
kailangan pobang I drained muna pag bagong dating lang? kailangan pobang I drained bago I charge??,kailangan pobang i drained muna pag bagong dating lang kailangan pobang i drained bago i charge,,kailangan pobang i drained muna pag bagong dating lang? kailangan pobang i drained bago i charge??,[],Negative (-0.67),Neutral (0.48),Negative (-0.40),Neutral (TROLL) (0.00),True,0.5499999999999999
Ask ko lang po kadadating lang kasi nung ganyan ko. Dapat po ba muna gamitin yung factory charge o need na kaagad icharge bago po gamitin? Salamat po.,ask ko lang po kadadating lang kasi nung ganyan ko dapat po ba muna gamitin yung factory charge o need na kaagad icharge bago po gamitin salamat po,,ask ko lang po kadadating lang kasi nung ganyan ko. dapat po ba muna gamitin yung factory charge o need na kaagad icharge bago po gamitin? salamat po.,[],Negative (-0.94),Neutral (0.64),Negative (-0.56),Positive (0.06),False,0.25
pwede po bang maalis yung mga nakain nyang hair:>!,pwede po bang maalis yung mga nakain nyang hair,,pwede po bang maalis yung mga nakain nyang hair:>!,[],Negative (-0.60),Neutral (0.46),Negative (-0.36),Neutral (0.04),False,0.25
pano po linisan yan pag madumi na??,pano po linisan yan pag madumi na,,pano po linisan yan pag madumi na??,[],Negative (-0.61),Neutral (0.41),Negative (-0.36),Positive (TROLL) (0.26),True,0.5499999999999999
how to know kung ilang percent napo sya?,how to know kung ilang percent napo sya,,how to know kung ilang percent napo sya?,[],Neutral (0.00),Neutral (0.45),Neutral (0.00),Neutral (0.00),False,0.15
hello po I have concern po kase napansin ko na mahina yung volume 1 ko compared sa classmate ko na anlakas kahit volume 1 palang,hello po i have concern po kase napansin ko na mahina yung volume 1 ko compared sa classmate ko na anlakas kahit volume 1 palang,,hello po i have concern po kase napansin ko na mahina yung volume 1 ko compared sa classmate ko na anlakas kahit volume 1 palang,[],Negative (-0.80),Negative (0.57),Negative (-0.48),Positive (TROLL) (0.25),True,0.4
Subrang tagal nito malowbat,subrang tagal nito malowbat,,subrang tagal nito malowbat,[],Neutral (0.00),Positive (0.78),Neutral (0.00),Positive (0.78),False,0.15
ask lang po if ilang percent ko sha pwede icharge?,ask lang po if ilang percent ko sha pwede icharge,,ask lang po if ilang percent ko sha pwede icharge?,[],Negative (-0.56),Neutral (0.56),Negative (-0.33),Neutral (0.04),False,0.25
gumagana padin po ba pagginamit ng nakacharge sa powerbank?,gumagana padin po ba pagginamit ng nakacharge sa powerbank,,gumagana padin po ba pagginamit ng nakacharge sa powerbank?,[],Negative (-0.56),Neutral (0.49),Negative (-0.33),Positive (0.23),False,0.25
Napakashala talaga at ang lakas ng fan na yan🥰,napakashala talaga at ang lakas ng fan na yan smilingfacewithhearts,🥰,napakashala talaga at ang lakas ng fan na yan smiling_face_with_hearts ,[],Positive (0.32),Positive (0.77),Positive (0.19),Positive (0.41),False,0.15
hello po? pls enlighten me ano po yung factory charge,hello po pls enlighten me ano po yung factory charge,,hello po? pls enlighten me ano po yung factory charge,[],Negative (-0.56),Neutral (0.62),Negative (-0.33),Neutral (0.00),False,0.25
Ilan hours sis tinatagal nya ?,ilan hours sis tinatagal nya,,ilan hours sis tinatagal nya ?,[],Neutral (0.00),Neutral (0.38),Neutral (0.00),Neutral (0.00),False,0.15
"hello po, paano po sya gawing 1-2-3-4 yung power level rather than 20-40-60-80?",hello po paano po sya gawing 1234 yung power level rather than 20406080,,"hello po, paano po sya gawing 1-2-3-4 yung power level rather than 20-40-60-80?",[],Negative (-0.80),Neutral (0.54),Negative (-0.48),Positive (0.25),False,0.25
yung parang pinaka screen po ba ay may plastic para di ma scratch?,yung parang pinaka screen po ba ay may plastic para di ma scratch,,yung parang pinaka screen po ba ay may plastic para di ma scratch?,[],Negative (-0.56),Neutral (0.50),Negative (-0.33),Neutral (0.00),False,0.25
Hi po? Pwede po ba gamitin yung audio recorded ng vid niyo po?,hi po pwede po ba gamitin yung audio recorded ng vid niyo po,,hi po? pwede po ba gamitin yung audio recorded ng vid niyo po?,[],Negative (-0.90),Neutral (0.63),Negative (-0.54),Neutral (0.04),False,0.25
mi normal ba na nag rurun ang number pero full charge ang power nya below 🥺,mi normal ba na nag rurun ang number pero full charge ang power nya below pleadingface,🥺,mi normal ba na nag rurun ang number pero full charge ang power nya below  pleading_face ,[],Negative (-0.30),Neutral (0.43),Negative (-0.18),Positive (0.28),False,0.15
normal lang po ba na kahit naka off na yung fan meron pa ding nakadisplay na power sa led.,normal lang po ba na kahit naka off na yung fan meron pa ding nakadisplay na power sa led,,normal lang po ba na kahit naka off na yung fan meron pa ding nakadisplay na power sa led.,[],Negative (-0.32),Neutral (0.50),Negative (-0.19),Neutral (0.00),False,0.15
Nice po lalo na sa panahon ngayon.,nice po lalo na sa panahon ngayon,,nice po lalo na sa panahon ngayon.,[],Negative (-0.20),Positive (0.80),Negative (-0.12),Positive (0.34),False,0.15
Sinasagad nyo po ba hanggang 100 ang charge?,sinasagad nyo po ba hanggang 100 ang charge,,sinasagad nyo po ba hanggang 100 ang charge?,[],Negative (-0.56),Neutral (0.60),Negative (-0.33),Neutral (0.00),False,0.25
paupdate po pag may stock na pink😭,paupdate po pag may stock na pink loudlycryingface,😭,paupdate po pag may stock na pink loudly_crying_face ,[],Negative (-0.56),Neutral (0.35),Negative (-0.33),Positive (0.21),False,0.25
pag naka 100 poba ilang oras sya natagal?,pag naka 100 poba ilang oras sya natagal,,pag naka 100 poba ilang oras sya natagal?,[],Neutral (0.00),Neutral (0.54),Neutral (0.00),Neutral (0.00),False,0.15
"pano po ba alisin yung amoy nya?, natapunan po kasi ng flakes and oil tuna",pano po ba alisin yung amoy nya natapunan po kasi ng flakes and oil tuna,,"pano po ba alisin yung amoy nya?, natapunan po kasi ng flakes and oil tuna",[],Negative (-0.80),Neutral (0.56),Negative (-0.48),Neutral (0.00),False,0.25
"hello, kakadating lang sakin 1 lang ang power nya pero ambilis nya ma lobat, 80 tapos pag tingin ko is 77 na lang kakagamit kk lang po now, normal ba yun?",hello kakadating lang sakin 1 lang ang power nya pero ambilis nya ma lobat 80 tapos pag tingin ko is 77 na lang kakagamit kk lang po now normal ba yun,,"hello, kakadating lang sakin 1 lang ang power nya pero ambilis nya ma lobat, 80 tapos pag tingin ko is 77 na lang kakagamit kk lang po now, normal ba yun?",[],Negative (-0.27),Neutral (0.51),Negative (-0.16),Neutral (0.00),False,0.15
Long press mopo yung power up if gusto mo 10 lang ganon🥰,long press mopo yung power up if gusto mo 10 lang ganon smilingfacewithhearts,🥰,long press mopo yung power up if gusto mo 10 lang ganon smiling_face_with_hearts ,[],Neutral (0.00),Neutral (0.42),Neutral (0.00),Positive (0.46),False,0.15
gano po katagal chinacharge?,gano po katagal chinacharge,,gano po katagal chinacharge?,[],Negative (-0.56),Neutral (0.43),Negative (-0.33),Positive (0.25),False,0.25
Hi ate normal ba yung ganyan ko nasa 43 percent pa naman bigla bigla nalang nag 0 . Never ko naman siyang nababagsak,hi ate normal ba yung ganyan ko nasa 43 percent pa naman bigla bigla nalang nag 0 never ko naman siyang nababagsak,,hi ate normal ba yung ganyan ko nasa 43 percent pa naman bigla bigla nalang nag 0 . never ko naman siyang nababagsak,[],Negative (-0.36),Negative (0.66),Negative (-0.08),Positive (0.07),False,0.15
Ate Hindi poba Malakas ang Sound nya kapag naka 100 ??,ate hindi poba malakas ang sound nya kapag naka 100,,ate hindi poba malakas ang sound nya kapag naka 100 ??,[],Neutral (0.00),Neutral (0.50),Positive (0.14),Positive (TROLL) (0.21),True,0.44999999999999996
pag ka dating poba ng fan kaylangan I charge ?,pag ka dating poba ng fan kaylangan i charge,,pag ka dating poba ng fan kaylangan i charge ?,[],Positive (0.32),Neutral (0.42),Positive (0.19),Neutral (0.00),False,0.15
Yung ganyan ko dumating nung Isang araw ginamit ko once tapos nung chinarge ko hindi na mag fully charge. Hanggang 99 na lang di na nag 100 😔,yung ganyan ko dumating nung isang araw ginamit ko once tapos nung chinarge ko hindi na mag fully charge hanggang 99 na lang di na nag 100 pensiveface,😔,yung ganyan ko dumating nung isang araw ginamit ko once tapos nung chinarge ko hindi na mag fully charge. hanggang 99 na lang di na nag 100  pensive_face ,[],Negative (-0.36),Negative (0.67),Negative (-0.22),Negative (-0.29),False,0.15
may plastic cover po ba yung led?,may plastic cover po ba yung led,,may plastic cover po ba yung led?,[],Negative (-0.56),Neutral (0.59),Negative (-0.33),Neutral (0.00),False,0.25
May question po ako kakadating lang po ng akin and chinacharge kopo sya but tuwing i oopen kopo maya maya namamatay na sya 3 hours napo sya naka cherge,may question po ako kakadating lang po ng akin and chinacharge kopo sya but tuwing i oopen kopo maya maya namamatay na sya 3 hours napo sya naka cherge,,may question po ako kakadating lang po ng akin and chinacharge kopo sya but tuwing i oopen kopo maya maya namamatay na sya 3 hours napo sya naka cherge,[],Negative (-0.56),Negative (0.53),Negative (-0.33),Negative (-0.27),False,0.25
matagal po ba talaga siya mag-charge? yung akin po kasi ang tagal mag 100 or depende lang talaga sa charger hahahha,matagal po ba talaga siya magcharge yung akin po kasi ang tagal mag 100 or depende lang talaga sa charger hahahha,,matagal po ba talaga siya mag-charge? yung akin po kasi ang tagal mag 100 or depende lang talaga sa charger hahahha,[],Negative (-0.80),Negative (0.44),Negative (-0.48),Positive (0.26),False,0.25
ilang percent bago po i charge ulit para hindi masira ulit?,ilang percent bago po i charge ulit para hindi masira ulit,,ilang percent bago po i charge ulit para hindi masira ulit?,[],Negative (-0.56),Neutral (0.52),Negative (-0.33),Negative (-0.21),False,0.25
waah worth it tlga to,waah worth it tlga to,,waah worth it tlga to,[],Positive (0.23),Positive (0.81),Positive (0.28),Positive (0.81),False,0.15
ask lng po pag charging ba nag ooff sya ung led then charging pa din or forever po naka open un led till mag 100 percent?,ask lng po pag charging ba nag ooff sya ung led then charging pa din or forever po naka open un led till mag 100 percent,,ask lng po pag charging ba nag ooff sya ung led then charging pa din or forever po naka open un led till mag 100 percent?,[],Negative (-0.87),Neutral (0.64),Negative (-0.52),Neutral (0.00),False,0.25
excited ako Kasi binilhan ako ni mama ng goojo na fan :DDD,excited ako kasi binilhan ako ni mama ng goojo na fan ddd,,excited ako kasi binilhan ako ni mama ng goojo na fan :ddd,[],Positive (0.57),Positive (0.79),Positive (0.34),Positive (0.29),False,0.15
🔥,fire,🔥, fire ,[],Negative (-0.34),Positive (0.63),Negative (-0.06),Positive (0.25),False,0.0
😂,facewithtearsofjoy,😂, face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.06
🥰🥰🥰,smilingfacewithhearts smilingfacewithhearts smilingfacewithhearts,🥰🥰🥰, smiling_face_with_hearts  smiling_face_with_hearts  smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
Saan makikita pag charging na,saan makikita pag charging na,,saan makikita pag charging na,[],Neutral (0.00),Neutral (0.39),Neutral (0.00),Positive (0.26),False,0.15
😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,😂😂😂, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.192
💪💪💪,flexedbiceps flexedbiceps flexedbiceps,💪💪💪, flexed_biceps  flexed_biceps  flexed_biceps ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.32),False,0.0
😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,😂😂😂, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.192
😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,😂😂😂, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.192
😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,😂😂😂, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.192
🥰🥰🥰,smilingfacewithhearts smilingfacewithhearts smilingfacewithhearts,🥰🥰🥰, smiling_face_with_hearts  smiling_face_with_hearts  smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
🥰🥰🥰,smilingfacewithhearts smilingfacewithhearts smilingfacewithhearts,🥰🥰🥰, smiling_face_with_hearts  smiling_face_with_hearts  smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😳😳😳,flushedface flushedface flushedface,😳😳😳, flushed_face  flushed_face  flushed_face ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.0
😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,😂😂😂, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.192
@Rouisha Villarin,villarin,,@rouisha villarin,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.15
🥺,pleadingface,🥺, pleading_face ,[],Neutral (0.00),Negative (0.46),Neutral (0.00),Positive (0.25),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😭,loudlycryingface,😭, loudly_crying_face ,[],Neutral (0.00),Negative (0.43),Neutral (0.00),Positive (0.19),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😂,facewithtearsofjoy,😂, face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.06
😳😳😳,flushedface flushedface flushedface,😳😳😳, flushed_face  flushed_face  flushed_face ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😝,squintingfacewithtongue,😝, squinting_face_with_tongue ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.0
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😁,beamingfacewithsmilingeyes,😁, beaming_face_with_smiling_eyes ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😁,beamingfacewithsmilingeyes,😁, beaming_face_with_smiling_eyes ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
😂,facewithtearsofjoy,😂, face_with_tears_of_joy ,[],Neutral (0.00),Positive (0.45),Neutral (0.00),Positive (0.32),False,0.06
😁,beamingfacewithsmilingeyes,😁, beaming_face_with_smiling_eyes ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
@@Niña Lumantao,lumantao,,@@niña lumantao,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.15
@Janeo Maras,maras,,@janeo maras,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.15
😇,smilingfacewithhalo,😇, smiling_face_with_halo ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
matagal tlaga ma lowbat,matagal tlaga ma lowbat,,matagal tlaga ma lowbat,[],Neutral (0.00),Positive (0.72),Neutral (0.00),Positive (0.72),False,0.15
paano po linisin ang Elisy pag dumumi na po,paano po linisin ang elisy pag dumumi na po,,paano po linisin ang elisy pag dumumi na po,[],Negative (-0.80),Negative (0.37),Negative (-0.48),Positive (0.35),False,0.25
worth it talaga mga turbo fan ni goojodoq,worth it talaga mga turbo fan ni goojodoq,,worth it talaga mga turbo fan ni goojodoq,[],Positive (0.49),Positive (0.71),Positive (0.44),Positive (0.71),False,0.15
@mikols12,,,@mikols12,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.15
🥰,smilingfacewithhearts,🥰, smiling_face_with_hearts ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.35),False,0.0
