comment,is_troll
kitang kita naman na bayaran ka ng oligarchs,1
"Napaisip ako about this topic, interesting siya.",0
"how to unsee, napaka sama ng content mo",1
how are you even allowed to post this trash? 🤮,1
Great video! Thanks for the information.,0
"This is such quality content, keep it up!",0
pisting yawa CRINGE content!!!! 🤮🤮🤮,1
sino bang nanonood sa ganitong content? walang kwenta,1
respect my opinion pero pangit talaga to,1
"Interesting, would like to see more on this.",0
your content is so cringe it physically hurts me,1
GAGO KA BA? this is the worst content I've seen!!!,1
"EARN 50,000 PESOS DAILY!!! Click my profile NOW!!",1
"Love your editing style, very professional.",0
Sino dito nanonood habang kumakain?,0
"This is so helpful talaga, salamat!",0
what a LOSER!!! hahahaha 🤣🤣🤣,1
respect my opinion: you have zero talent,1
"First time ko to napanood, interesting siya.",0
delete your account please you're embarrassing yourself,1
you clearly don't know what you're talking about,1
wala kang alam sa ginagawa mo 🙄,1
FREE LOAD JUST TEXT 09123456789 NOW!!!,1
"May point ka naman, pero di ko sure kung agree ako.",0
CANCELLED!!! This person is problematic AF,1
I just found this channel today.,0
"Keep up the good work ha, nakakatuwa yung videos mo.",0
"Super helpful talaga, salamat so much!",0
respect my opinion na lang but this is PANGET,1
your content is so BASURA talaga,1
This reminds me of something I saw last week.,0
tang*na this is trash talaga!!! nakakabwisit ka,1
"Ang ganda ng explanation mo, I understand it na!",0
PINKLAWAN SPOTTED!!! 🤣🤣🤣,1
"Bago lang ako dito sa channel mo, nice content pala.",0
LOOKING FOR GCASH CASHOUT!!! PM ME NOW!!!,1
Medyo confused pa ako pero interesting.,0
"First time watching your content, nice to discover you.",0
you're so TANGA!!! delete this video now na please!!!,1
nobody asked for this KADIRI content,1
"Interesting perspective, I'll think about this.",0
BOBO NAMAN NITO!!! you clearly don't know what you're doing,1
This is the best explanation I've seen so far.,0
Your content is so galing talaga! Thank you!,0
"Napaka interesting ng topic na to, good job!",0
try to make better content naman please,1
FOREX TRADING EASY MONEY!!! PM ME 🤑🤑🤑,1
loko loko talaga tong taong to eh,1
I wonder kung meron ka pang ibang topics like this.,0
YIKES talaga your content is so bad 😬,1
NPA supporter spotted delete this!!!,1
I always look forward to your videos kasi ang galing mo!,0
UMAY!!! paulit ulit lang content mo,1
AMPANGET MO TALAGA KADIRI 🤮🤮🤮,1
"Salamat sa info, napakalaking tulong.",0
Just watching this habang nagkakape.,0
you're so stupid I can't even believe it 💀💀💀,1
UMAY sa content mo its always the same,1
TANGA NAMAN NITO HINDI ALAM GINAGAWA 💀💀💀,1
NOBODY CARES ABOUT YOUR OPINION!!!!! 🤡🤡🤡,1
GAGO KA BA??? SOBRANG PANGET NG CONTENT MO,1
"Napaka informative nito, salamat sa pag share.",0
Here before this blows up.,0
Ito ba yung trending ngayon?,0
"Your voice is so soothing, love the narration.",0
"I MADE ₱100,000 FROM THIS!!! CHECK MY BIO!!",1
"Ang informative nito, thanks for sharing!",0
Interesting yung take mo on this topic.,0
ANG BOBO MO TALAGA!!! HAHAHAHAHA 🤡🤡🤡,1
Check my bio for easy money!!! 💰💰💰,1
"Idol talaga kita, ang galing mo!",0
basic content for basic people I guess,1
"I'm not sure I agree, but I respect your opinion.",0
"Ang galing mo mag-explain, salamat!",0
